"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","HLY-DEWP-10PCTL","HLY-DEWP-90PCTL","HLY-DEWP-NORMAL","HLY-HIDX-NORMAL","HLY-TEMP-10PCTL","HLY-TEMP-90PCTL","HLY-TEMP-NORMAL","HLY-WCHL-NORMAL"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-26T18:00:00","54.0","71.1","63.7","84.7","73.0","91.0","82.8","82.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-26T19:00:00","54.0","71.1","63.8","82.2","71.1","89.1","80.6","80.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-26T20:00:00","55.0","71.1","63.9","79.3","69.1","86.0","78.0","78.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-26T21:00:00","55.0","71.1","64.1","77.5","68.0","84.0","76.4","76.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-26T22:00:00","55.0","71.1","64.2","76.1","66.9","82.9","75.3","75.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-26T23:00:00","55.0","71.1","64.3","74.8","66.0","82.0","74.1","74.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T00:00:00","55.9","71.1","64.3","73.6","64.9","80.1","73.1","73.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T01:00:00","55.0","71.1","64.2","72.3","64.0","79.0","72.0","72.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T02:00:00","55.9","71.1","64.2","71.3","64.0","78.1","71.2","71.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T03:00:00","55.9","71.1","64.2","70.5","63.0","77.0","70.4","70.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T04:00:00","55.9","71.1","64.2","69.8","62.1","75.9","69.8","69.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T05:00:00","55.0","71.1","64.2","69.3","62.1","75.9","69.2","69.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T06:00:00","55.9","71.1","64.4","69.1","61.0","75.9","69.1","69.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T07:00:00","57.0","71.1","65.1","71.0","64.0","77.0","70.9","70.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T08:00:00","57.0","71.1","65.2","73.7","66.0","80.1","73.3","73.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T09:00:00","57.0","71.1","65.2","76.8","68.0","82.9","75.8","75.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T10:00:00","57.0","71.1","65.2","79.7","70.0","86.0","78.1","78.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T11:00:00","57.0","71.1","65.1","82.0","72.0","88.0","80.1","80.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T12:00:00","55.9","71.1","64.9","84.1","73.0","90.0","82.0","82.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T13:00:00","57.0","71.1","64.9","85.7","73.9","91.0","83.4","83.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T14:00:00","55.9","71.1","64.7","86.8","75.0","93.0","84.6","84.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T15:00:00","55.9","71.1","64.5","87.2","75.0","93.9","85.0","84.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T16:00:00","55.0","71.1","64.3","87.3","75.0","93.9","85.1","85.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T17:00:00","55.0","71.1","64.0","86.4","75.0","93.0","84.4","84.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T18:00:00","55.0","71.1","64.1","84.9","73.0","91.0","83.1","83.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T19:00:00","55.0","71.1","64.2","82.5","72.0","89.1","80.9","80.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T20:00:00","55.9","71.1","64.2","79.6","70.0","86.0","78.3","78.3"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T21:00:00","55.9","71.1","64.4","77.8","68.0","84.9","76.7","76.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T22:00:00","55.9","71.1","64.6","76.5","68.0","82.9","75.6","75.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-27T23:00:00","55.9","71.1","64.7","75.2","66.9","82.0","74.4","74.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T00:00:00","57.0","71.1","64.6","74.0","66.0","81.0","73.4","73.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T01:00:00","55.9","71.1","64.6","72.7","64.9","80.1","72.4","72.4"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T02:00:00","55.9","71.1","64.5","71.7","64.0","79.0","71.6","71.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T03:00:00","57.0","71.1","64.6","70.9","63.0","77.0","70.8","70.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T04:00:00","57.0","71.1","64.6","70.2","63.0","77.0","70.1","70.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T05:00:00","57.0","71.1","64.5","69.6","63.0","75.9","69.6","69.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","32.8978","-97.0189","170.7","05-28T06:00:00","57.0","71.1","64.7","69.5","62.1","75.9","69.4","69.4"
